message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_091,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_090,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_048,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_040,mute,group_chat,Deterministic match: User has muted this group.,1.0,none
msg_075,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_005,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_104,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_069,mute,group_chat,Deterministic match: User has muted this group.,1.0,none
msg_107,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_070,digest,personal,Deterministic match: User has DND active.,1.0,none
msg_003,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_099,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_008,digest,personal,Deterministic match: User has DND active.,1.0,none
msg_092,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_060,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_004,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_030,mute,group_chat,Deterministic match: User has muted this group.,1.0,none
msg_045,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_052,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_009,mute,group_chat,Deterministic match: User has muted this group.,1.0,none
msg_071,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_016,digest,personal,Deterministic match: User has DND active.,1.0,none
msg_065,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_038,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_086,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_014,mute,spam,Deterministic match: User opted out of promotions from this business.,1.0,none
msg_094,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_029,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_105,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_002,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_010,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_078,mute,group_chat,Deterministic match: User has muted this group.,1.0,none
msg_013,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_018,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_044,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_032,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_106,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_006,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_109,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_108,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_019,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_088,mute,group_chat,Deterministic match: User has muted this group.,1.0,none
msg_056,mute,group_chat,Deterministic match: User has muted this group.,1.0,none
msg_027,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_050,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_083,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_063,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_033,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_061,mute,group_chat,Deterministic match: User has muted this group.,1.0,none
msg_020,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_017,mute,group_chat,Deterministic match: User has muted this group.,1.0,none
msg_058,mute,group_chat,Deterministic match: User has muted this group.,1.0,none
msg_026,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_047,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_046,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_042,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_079,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_098,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_037,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_007,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_085,digest,personal,Deterministic match: User has DND active.,1.0,none
msg_001,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_021,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_028,mute,spam,Deterministic match: User opted out of promotions from this business.,1.0,none
msg_012,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_064,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_103,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_031,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_057,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_087,mute,group_chat,Deterministic match: User has muted this group.,1.0,none
msg_067,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_039,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_082,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_066,mute,spam,Deterministic match: User opted out of promotions from this business.,1.0,none
msg_049,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_015,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_051,mute,spam,Deterministic match: User opted out of promotions from this business.,1.0,none
msg_097,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_089,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_053,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_059,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_024,mute,spam,Deterministic match: User opted out of promotions from this business.,1.0,none
msg_072,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_036,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_076,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_055,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_102,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_080,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_093,digest,personal,Deterministic match: User has DND active.,1.0,none
msg_034,mute,group_chat,Deterministic match: User has muted this group.,1.0,none
msg_035,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_101,digest,personal,Deterministic match: User has DND active.,1.0,none
msg_041,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_011,mute,group_chat,Deterministic match: User has muted this group.,1.0,none
msg_110,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_095,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_074,mute,group_chat,Deterministic match: User has muted this group.,1.0,none
msg_073,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_054,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_068,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_100,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_062,digest,personal,Deterministic match: User has DND active.,1.0,none
msg_096,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
msg_043,digest,unknown,No deterministic policy matched. Defaulting to digest.,0.0,none
